ID	Macrosegmento	Segmento Empresarial	Especialidade Principal	Serviços Principais	Palavras-chave / Termos de Busca	ICP B2B (Cliente Ideal)	Setores-alvo	Necessidade / Dor que Resolve	Sinais de Oportunidade para Busca	Objetivo de Captação	Modelo de Contratação	Potencial de Recorrência
B2B-0023	Tecnologia e Software	Desenvolvedora de SaaS	Plataformas SaaS	"Plataformas SaaS; multi-tenant; billing; integrações; dashboards; manutenção"	"desenvolvedora de saas; tecnologia e software; plataformas saas; multi-tenant; billing; integracoes; dashboards; manutencao"	Empresas em crescimento, departamentos de TI, operações com processos manuais, startups e organizações com sistemas legados	"Indústria; serviços; financeiro; saúde; varejo; logística; educação; construção; agronegócio"	Processos manuais, sistemas desconectados, baixa escalabilidade, falta de dados ou necessidade de modernização tecnológica. Demanda típica: plataformas saas.	"uso intenso de planilhas; sistemas legados; vagas de TI abertas; múltiplas ferramentas desconectadas; crescimento de operação; transformação digital anunciada"	Prospectar empresas do ICP com sinais de uso intenso de planilhas ou sistemas legados e potencial demanda por plataformas saas e multi-tenant.	Projeto + sustentação	Alta
B2B-0024	Tecnologia e Software	Desenvolvimento de Aplicativos	Apps iOS	"Apps iOS; Android; Flutter; React Native; backend; publicação"	"desenvolvimento de aplicativos; tecnologia e software; apps ios; android; flutter; react native; backend; publicacao"	Empresas em crescimento, departamentos de TI, operações com processos manuais, startups e organizações com sistemas legados	"Indústria; serviços; financeiro; saúde; varejo; logística; educação; construção; agronegócio"	Processos manuais, sistemas desconectados, baixa escalabilidade, falta de dados ou necessidade de modernização tecnológica. Demanda típica: apps ios.	"uso intenso de planilhas; sistemas legados; vagas de TI abertas; múltiplas ferramentas desconectadas; crescimento de operação; transformação digital anunciada"	Prospectar empresas do ICP com sinais de uso intenso de planilhas ou sistemas legados e potencial demanda por apps ios e android.	Projeto + sustentação	Alta
B2B-0025	Tecnologia e Software	Desenvolvimento de Sites	Sites institucionais	"Sites institucionais; landing pages; portais; CMS; manutenção"	"desenvolvimento de sites; tecnologia e software; sites institucionais; landing pages; portais; cms; manutencao"	Empresas em crescimento, departamentos de TI, operações com processos manuais, startups e organizações com sistemas legados	"Indústria; serviços; financeiro; saúde; varejo; logística; educação; construção; agronegócio"	Processos manuais, sistemas desconectados, baixa escalabilidade, falta de dados ou necessidade de modernização tecnológica. Demanda típica: sites institucionais.	"uso intenso de planilhas; sistemas legados; vagas de TI abertas; múltiplas ferramentas desconectadas; crescimento de operação; transformação digital anunciada"	Prospectar empresas do ICP com sinais de uso intenso de planilhas ou sistemas legados e potencial demanda por sites institucionais e landing pages.	Projeto + sustentação	Alta
B2B-0026	Tecnologia e Software	Desenvolvimento de E-commerce	Lojas virtuais	"Lojas virtuais; checkout; integrações; catálogo; marketplaces; CRO"	"desenvolvimento de e-commerce; tecnologia e software; lojas virtuais; checkout; integracoes; catalogo; marketplaces; cro"	Empresas em crescimento, departamentos de TI, operações com processos manuais, startups e organizações com sistemas legados	"Indústria; serviços; financeiro; saúde; varejo; logística; educação; construção; agronegócio"	Processos manuais, sistemas desconectados, baixa escalabilidade, falta de dados ou necessidade de modernização tecnológica. Demanda típica: lojas virtuais.	"uso intenso de planilhas; sistemas legados; vagas de TI abertas; múltiplas ferramentas desconectadas; crescimento de operação; transformação digital anunciada"	Prospectar empresas do ICP com sinais de uso intenso de planilhas ou sistemas legados e potencial demanda por lojas virtuais e checkout.	Projeto + sustentação	Alta
B2B-0027	Tecnologia e Software	Consultoria de TI	Arquitetura	"Arquitetura; governança; infraestrutura; segurança; transformação digital"	"consultoria de ti; tecnologia e software; arquitetura; governanca; infraestrutura; seguranca; transformacao digital"	Empresas em crescimento, departamentos de TI, operações com processos manuais, startups e organizações com sistemas legados	"Indústria; serviços; financeiro; saúde; varejo; logística; educação; construção; agronegócio"	Processos manuais, sistemas desconectados, baixa escalabilidade, falta de dados ou necessidade de modernização tecnológica. Demanda típica: arquitetura.	"uso intenso de planilhas; sistemas legados; vagas de TI abertas; múltiplas ferramentas desconectadas; crescimento de operação; transformação digital anunciada"	Prospectar empresas do ICP com sinais de uso intenso de planilhas ou sistemas legados e potencial demanda por arquitetura e governança.	Projeto + sustentação	Alta
B2B-0028	Tecnologia e Software	MSP de TI	Help desk	"Help desk; monitoramento; suporte remoto; gestão de dispositivos; backup"	"msp de ti; tecnologia e software; help desk; monitoramento; suporte remoto; gestao de dispositivos; backup"	Empresas em crescimento, departamentos de TI, operações com processos manuais, startups e organizações com sistemas legados	"Indústria; serviços; financeiro; saúde; varejo; logística; educação; construção; agronegócio"	Processos manuais, sistemas desconectados, baixa escalabilidade, falta de dados ou necessidade de modernização tecnológica. Demanda típica: help desk.	"uso intenso de planilhas; sistemas legados; vagas de TI abertas; múltiplas ferramentas desconectadas; crescimento de operação; transformação digital anunciada"	Prospectar empresas do ICP com sinais de uso intenso de planilhas ou sistemas legados e potencial demanda por help desk e monitoramento.	Projeto + sustentação	Alta
B2B-0029	Tecnologia e Software	Provedor de Cloud	Cloud hosting	"Cloud hosting; migração; infraestrutura; backup; disaster recovery; managed cloud"	"provedor de cloud; tecnologia e software; cloud hosting; migracao; infraestrutura; backup; disaster recovery; managed cloud"	Empresas em crescimento, departamentos de TI, operações com processos manuais, startups e organizações com sistemas legados	"Indústria; serviços; financeiro; saúde; varejo; logística; educação; construção; agronegócio"	Processos manuais, sistemas desconectados, baixa escalabilidade, falta de dados ou necessidade de modernização tecnológica. Demanda típica: cloud hosting.	"uso intenso de planilhas; sistemas legados; vagas de TI abertas; múltiplas ferramentas desconectadas; crescimento de operação; transformação digital anunciada"	Prospectar empresas do ICP com sinais de uso intenso de planilhas ou sistemas legados e potencial demanda por cloud hosting e migração.	Projeto + sustentação	Alta
B2B-0030	Tecnologia e Software	Consultoria DevOps	CI/CD	"CI/CD; containers; Kubernetes; observabilidade; infraestrutura como código"	"consultoria devops; tecnologia e software; ci/cd; containers; kubernetes; observabilidade; infraestrutura como codigo"	Empresas em crescimento, departamentos de TI, operações com processos manuais, startups e organizações com sistemas legados	"Indústria; serviços; financeiro; saúde; varejo; logística; educação; construção; agronegócio"	Processos manuais, sistemas desconectados, baixa escalabilidade, falta de dados ou necessidade de modernização tecnológica. Demanda típica: ci/cd.	"uso intenso de planilhas; sistemas legados; vagas de TI abertas; múltiplas ferramentas desconectadas; crescimento de operação; transformação digital anunciada"	Prospectar empresas do ICP com sinais de uso intenso de planilhas ou sistemas legados e potencial demanda por ci/cd e containers.	Projeto + sustentação	Alta
B2B-0031	Tecnologia e Software	Empresa de Cibersegurança	Pentest	"Pentest; SOC; gestão de vulnerabilidades; resposta a incidentes; firewall"	"empresa de ciberseguranca; tecnologia e software; pentest; soc; gestao de vulnerabilidades; resposta a incidentes; firewall"	Empresas em crescimento, departamentos de TI, operações com processos manuais, startups e organizações com sistemas legados	"Indústria; serviços; financeiro; saúde; varejo; logística; educação; construção; agronegócio"	Processos manuais, sistemas desconectados, baixa escalabilidade, falta de dados ou necessidade de modernização tecnológica. Demanda típica: pentest.	"uso intenso de planilhas; sistemas legados; vagas de TI abertas; múltiplas ferramentas desconectadas; crescimento de operação; transformação digital anunciada"	Prospectar empresas do ICP com sinais de uso intenso de planilhas ou sistemas legados e potencial demanda por pentest e soc.	Projeto + sustentação	Alta
B2B-0032	Tecnologia e Software	Empresa de Inteligência Artificial	Agentes de IA	"Agentes de IA; copilots; LLM; automação inteligente; visão computacional"	"empresa de inteligencia artificial; tecnologia e software; agentes de ia; copilots; llm; automacao inteligente; visao computacional"	Empresas em crescimento, departamentos de TI, operações com processos manuais, startups e organizações com sistemas legados	"Indústria; serviços; financeiro; saúde; varejo; logística; educação; construção; agronegócio"	Processos manuais, sistemas desconectados, baixa escalabilidade, falta de dados ou necessidade de modernização tecnológica. Demanda típica: agentes de ia.	"uso intenso de planilhas; sistemas legados; vagas de TI abertas; múltiplas ferramentas desconectadas; crescimento de operação; transformação digital anunciada"	Prospectar empresas do ICP com sinais de uso intenso de planilhas ou sistemas legados e potencial demanda por agentes de ia e copilots.	Projeto + sustentação	Alta
B2B-0033	Tecnologia e Software	Empresa de RPA	Automação robótica	"Automação robótica; bots; integração; automação de backoffice; monitoramento"	"empresa de rpa; tecnologia e software; automacao robotica; bots; integracao; automacao de backoffice; monitoramento"	Empresas em crescimento, departamentos de TI, operações com processos manuais, startups e organizações com sistemas legados	"Indústria; serviços; financeiro; saúde; varejo; logística; educação; construção; agronegócio"	Processos manuais, sistemas desconectados, baixa escalabilidade, falta de dados ou necessidade de modernização tecnológica. Demanda típica: automação robótica.	"uso intenso de planilhas; sistemas legados; vagas de TI abertas; múltiplas ferramentas desconectadas; crescimento de operação; transformação digital anunciada"	Prospectar empresas do ICP com sinais de uso intenso de planilhas ou sistemas legados e potencial demanda por automação robótica e bots.	Projeto + sustentação	Alta
